,track_id,track_name,artists,track_genre,popularity,valence,energy,mood
76,2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,A Great Big World,"acoustic, piano",62,0.519,0.913,happy
77,4qCbMMMuEB56kHd4zPE6GD,The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,45,0.253,0.342,sad
78,11TK5KLtLZUdKr1C549bAw,What Would I Do Without You,Drew Holcomb & The Neighbors,"acoustic, folk",64,0.335,0.336,sad
79,7BXW1QCg56yzEBV8pW8pah,Have It All,Jason Mraz,acoustic,65,0.6,0.638,happy
80,2kMrCPZ0o5gErBPLCRgoli,Heavy Heart,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,0.37,0.7,angry
81,5IjTZ1g8KrIuV97N3OQZ0V,The House We Never Built,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,0.202,0.391,sad
82,3bHhUEOTIbezeZ856R0BX5,Society,Eddie Vedder,acoustic,68,0.298,0.327,sad
83,0wf17wsLRwnnfh241GkeH5,Please Don't Say You Love Me,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,0.3,0.541,angry
84,3322ArxAq7wCSZI4fF77Q0,Please Don't Say You Love Me,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,0.3,0.541,angry
85,4LGF2tDg3878bs0mQPByZ4,Guaranteed,Eddie Vedder,acoustic,61,0.351,0.4,sad
86,6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles,acoustic,70,0.758,0.836,happy
87,2z2JKNU24UEngb4joR9p8f,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,0.18,0.153,sad
88,2nef44o0sjJDKB1ta4S0ub,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,0.18,0.153,sad
89,0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,Five For Fighting,"acoustic, piano",62,0.392,0.845,angry
90,04JS6OitE9VGsIS3S94Osg,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,0.218,0.145,sad
91,5OGpsZeJRZ3t3MZioawcZW,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,0.218,0.145,sad
92,3Vnes7v746dYzBn0FJTZ1W,Fairytale Of New York,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,0.33,0.555,angry
93,30cYWLpVdBZVLb1cYdmcTT,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,0.218,0.145,sad
94,7sUqJ51FGSi3n7x4pYjY3v,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,0.218,0.145,sad
95,15BFn2VmEtonsXfNL1lUmy,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,0.218,0.145,sad
96,0WOFJR54wyTwLB11jcBDb1,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,0.218,0.145,sad
97,1uDCw6LVMOmbZ6zRliNcNX,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,0.218,0.145,sad
98,7DYsBLdOqz0z14tYWMt2Tn,Hold On,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,0.805,0.937,happy
99,7cPuE0M35EajWPRO3nRcH8,Suddenly I See,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,0.693,0.78,happy
100,0U32q8CZRRo7xCzyiaZw5f,Rain,Motohiro Hata,"acoustic, j-pop, j-rock, singer-songwriter, songwriter",58,0.542,0.655,happy
101,4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else - Acoustic,Callum J Wright,acoustic,50,0.617,0.38,calm
102,3us8sod4dLbM9FiMiPiEY8,Pieces (Hushed),Andrew Belle,acoustic,59,0.0951,0.279,sad
103,1PR5pyPiOEEQ02oJYq402x,Mirrors,Boyce Avenue;Fifth Harmony,acoustic,57,0.683,0.658,happy
104,068qo0w1Ki0cjnFYOUhAm2,Stand by Me,Boyce Avenue,acoustic,60,0.307,0.266,sad
105,2RFt6ZWQbr9mPhsft9u9eX,Losing Me,Gabrielle Aplin;JP Cooper,"acoustic, singer-songwriter, songwriter",61,0.257,0.407,sad
106,59pUIlXjQupbiYwt40uUTi,なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,49,0.325,0.161,sad
107,0VhZ5JYfqPojSYeGWnk4dL,You're Beautiful - Acoustic,John Adams,acoustic,55,0.36,0.154,sad
108,0ltIx8PLjtWoS9zn9PqsZW,Hikare Inochi,Kitri,acoustic,51,0.385,0.769,angry
109,7ACW42whcdOiUxiNVu7ltx,How To Lose a Girl,Tyler Ward,acoustic,46,0.34,0.454,sad
110,4qTHoIp62ngNDpUJwW3hZ7,Can't Help Falling in Love,Boyce Avenue,acoustic,57,0.148,0.197,sad
111,4VbDTk82rqWqVgoQC93CkC,Dive Deep (Hushed),Andrew Belle,acoustic,58,0.085,0.378,sad
112,1pG5nd6gmfbMwUfT5shDQe,When the Party's over (Acoustic Piano),Ben Woodward,"acoustic, chill",51,0.188,0.226,sad
113,2WZyfujzMweFLnozyUJBkW,Boston,Augustana,"acoustic, piano",63,0.29,0.571,angry
114,6gijbGNDNNJgT60Aj7UCyc,Living in the Shadows,Matthew Perryman Jones,acoustic,53,0.197,0.79,angry
115,5pq4v03P5PxMcnCagg4S3Z,In Case You Didn't Know,Boyce Avenue,acoustic,60,0.341,0.299,sad
116,08OjvLnGR3M0HUhcePeMNO,death bed (coffee for your head),Andrew Foy;Renee Foy,"acoustic, guitar",47,0.601,0.0392,calm
117,05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,Jason Mraz,acoustic,66,0.142,0.303,sad
118,3PG6V5yuFfo4APiovOQoRv,I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic,67,0.21,0.271,sad
119,5O9R57EozcpLKGQBzadPVy,Only Love Can Hurt Like This,Meg Birch,"acoustic, jazz",43,0.0998,0.213,sad
120,6ta5yavnnEfCE4faU0jebM,Mr Blue,Catherine Feeny,acoustic,54,0.612,0.386,calm
121,7BRCa8MPiyuvr2VU3O9W0F,Do Not Let Me Go,Joshua Hyslop,acoustic,60,0.145,0.234,sad
122,5ZhaKUsY68U0lgREFWfoxg,Holding On And Letting Go,Ross Copperman,"acoustic, piano",49,0.102,0.53,angry
123,4zcMBfbQZvBSHQBGDd6gsN,You Already Know,JJ Heller,acoustic,57,0.318,0.117,sad
124,7bhHLZxkRekrNPPkEdDTbn,Believer (Remix),Ben Woodward,"acoustic, chill",42,0.333,0.724,angry
125,5rwq6R0Uq0BngM3rdmCeNg,Collide - Acoustic Version,Howie Day,acoustic,67,0.294,0.253,sad
126,2lxBZVbkiCXC1soks2RXwV,Love Like This,Ben Rector,"acoustic, piano",61,0.392,0.14,sad
127,38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,Matt Nathanson,acoustic,71,0.617,0.623,happy
128,6XrNrp7UtGgyZcHJ0ckL0w,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,49,0.113,0.272,sad
129,72R0X0h8YaxYNpegeoOl0M,Kiss Me Slowly,Parachute,"acoustic, punk, punk-rock",61,0.431,0.801,angry
130,6R6ux6KaKrhAg2EIB2krdU,Without You,Parachute,"acoustic, punk, punk-rock",61,0.534,0.864,happy
131,2D9w6sabdMCLSheW5aegwO,Absolutely Zero,Jason Mraz,acoustic,20,0.116,0.495,sad
132,1Qo3taHLFSQpzLm5Sty7M4,Sleep All Day,Jason Mraz,acoustic,22,0.79,0.81,happy
133,71M4QMn8nrok1KFVXwEEyU,You and I Both,Jason Mraz,acoustic,35,0.74,0.812,happy
134,4lxGVzcUaSF5HW5jtWnShV,Long Nights,Eddie Vedder,acoustic,60,0.0974,0.305,sad
135,2PIlBukQ6limukVR8Ubb5o,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,59,0.321,0.541,angry
136,5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,KT Tunstall,"acoustic, singer-songwriter, songwriter",73,0.664,0.767,happy
137,1uSuY2qLCbx1QB7oPUVhFG,Who Needs Shelter,Jason Mraz,acoustic,22,0.264,0.569,angry
138,6twvFrIoIINH8UW8EB8OnU,No Stopping Us,Jason Mraz,acoustic,19,0.727,0.836,happy
139,2pelUnMKr07JjJpilj9Yew,I'll Do Anything,Jason Mraz,acoustic,24,0.648,0.711,happy
140,7d0bJhpp0mCYyMXaMgWyMS,Make You Feel My Love,JJ Heller,acoustic,57,0.262,0.199,sad
141,73CbJykoV6WapWGfTeRzTl,The Remedy (I Won't Worry),Jason Mraz,acoustic,35,0.795,0.867,happy
142,3ixLIO5BsTmic0Pp27FaPY,Too Much Food,Jason Mraz,acoustic,20,0.548,0.926,happy
143,5ZetMq21bMQN5oo4TtdOxu,The Boy's Gone,Jason Mraz,acoustic,18,0.36,0.556,angry
144,73oHkllHIT8fdbzpxiXW40,"On Love, in Sadness",Jason Mraz,acoustic,19,0.802,0.832,happy
145,4MihgVRpD82EZoT61GW63w,Curbside Prophet,Jason Mraz,acoustic,23,0.892,0.793,happy
146,1BECZPXBXzobsfmlzj0g3I,"Tonight, Not Again - Live",Jason Mraz,acoustic,19,0.594,0.278,calm
147,14vExHBkh1prEAN94wZug8,"Tonight, Not Again",Jason Mraz,acoustic,18,0.359,0.805,angry
148,0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,Eddie Vedder,acoustic,65,0.645,0.827,happy
149,6IF2P93LkyW4GqDQu1yS7H,Here with Me,Susie Suh;Robot Koch,acoustic,55,0.106,0.375,sad
150,34dnNAUoIPcwnK0RtVMBWZ,The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,acoustic,47,0.14,0.295,sad
151,5aDpULK8MbJmHl42kR5KNI,Collide,Howie Day,acoustic,56,0.342,0.625,angry
152,1fI1TMpz7FVkpoYBhmiywp,get better,Eden Elf;Ren Avel,acoustic,53,0.4,0.201,sad
153,23Mcmg5O8rBKAOzxvrTjnD,Sympathy,Kitri,acoustic,49,0.59,0.423,calm
154,0gVbkmFqq5fIkXtJJ3UTfM,Let It Go,Boyce Avenue;Rachel Grae,acoustic,51,0.444,0.349,sad
155,00DuOxungwHwVUX2m37P0P,What You Need,Chord Overstreet,acoustic,53,0.192,0.264,sad
156,2lFlveK1y13WWp3vnQtrr3,100 Years,Five For Fighting,"acoustic, piano",66,0.275,0.569,angry
157,2WD93lsfJonaKtrQtpLB2R,You're the Sea,Andrew Belle,acoustic,56,0.529,0.624,happy
158,7njTGO45SkaBTNu35t2Yq0,No Direction,Rachael Yamagata,acoustic,47,0.613,0.821,happy
159,6ivkBaxvclVhwZDE2uwldj,Belong,Cary Brothers,acoustic,51,0.217,0.399,sad
160,6Cvti10W0AzmzG9D1tpuKp,As It Was,The Mayries,acoustic,55,0.323,0.21,sad
161,03yc0G2OoH1Eeyu7Piy8fK,I'm Yours,Jason Mraz,acoustic,60,0.731,0.43,calm
162,5RO0MNa5hBKIM4OcjygadU,Chi Mai,Joseph Sullinger,"acoustic, guitar",40,0.557,0.287,calm
163,78TKtlSLWK8pZAKKW3MyQL,Say Something,A Great Big World;Christina Aguilera,"acoustic, piano",58,0.0915,0.146,sad
164,1esE8j1nVyzEQ5rVhYXoJT,Had It All,Parachute,"acoustic, punk, punk-rock",55,0.249,0.54,angry
165,68Yc9ylRZZPtsuVgtrxcDj,Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,acoustic,50,0.563,0.646,happy
166,3tjjCCdXSdaVEo4q4y071G,Whole Again - Acoustic Version,Tobey Rosen,"acoustic, chill",52,0.235,0.145,sad
167,3tob5ofeuvFKKSbOTldenC,Overpass Graffiti,The Mayries,acoustic,54,0.279,0.126,sad
168,4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,acoustic,73,0.573,0.786,happy
169,3uAdZpIbMTtVXitHVibLMV,Let Her Go,Andrew Foy;Renee Foy,"acoustic, guitar",38,0.376,0.291,sad
170,2LC523tbEPFpc1pnikbt5b,Brighter Than Sunshine,Aqualung,"acoustic, piano",53,0.398,0.489,sad
171,3ISLwA96mtx13Wx7K1PPPk,Love Story,Tyler Ward;Karis;Ray Lorraine,acoustic,55,0.338,0.12,sad
172,7Ca2CkwSqHyr3eCh8IRdjz,Mujer con Abanico,Agustín Amigó;Nylonwings,"acoustic, guitar",41,0.471,0.135,sad
173,6ql0ffq6Jvyh9OKqrJCMaP,In the Shadows,Amy Stroup,acoustic,46,0.0568,0.469,sad
174,1EyvonxK8OGHRV4WDRdArc,Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic,63,0.217,0.198,sad
175,0EKBV6GybPtALXUgWqWrym,The Story,Brandi Carlile,acoustic,66,0.177,0.5,angry
176,41A82PidFKhGX5hm1WoaDs,Better,JJ Heller,acoustic,54,0.233,0.187,sad
177,5oV8bZaShr2d01FFMHBUPq,Iris,Kina Grannis,acoustic,62,0.179,0.13,sad
178,5nMRpGfqQ0tb1TMbqBVK2J,Rockabye - Acoustic Version,The Mayries,acoustic,57,0.355,0.291,sad
179,04qDUASuSfVp6fktfsxVej,I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,acoustic,68,0.446,0.522,angry
180,3g61xRaqII8q1wlQDzv550,Beautiful Soul,Boyce Avenue,acoustic,62,0.705,0.506,happy
181,3dglCYsVMjPbDlU2CC9Vq7,Let's See What The Night Can Do,Jason Mraz,acoustic,53,0.288,0.423,sad
182,2f4jlGvGi3ZDGogXys5FUp,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,44,0.164,0.2,sad
183,3NCg46FWgnANZc9HQHQOQR,Forever And Always,Parachute,"acoustic, punk, punk-rock",57,0.435,0.716,angry
184,0muntSMuAZzcwYBBMZj6sf,Fine On The Outside,Priscilla Ahn,acoustic,52,0.196,0.185,sad
185,3FRARAKLpHw3er9ZaTwaHO,I Believe in You,JJ Heller,acoustic,53,0.267,0.359,sad
186,2Dzhwe90lhHXVU6lk7Nx0H,At Home,Jon Bryant,acoustic,55,0.357,0.52,angry
187,12niARgkwxGsklcEwh6GlG,"Portland, Maine",Donovan Woods,acoustic,66,0.156,0.349,sad
188,0v0pc1lIt5p6EBX7pnfOGF,Holding On and Letting Go,Ross Copperman,"acoustic, piano",49,0.0992,0.555,angry
189,5wQci5VCUjdbKnRD61XYwu,The Flood,Joshua Hyslop,acoustic,60,0.262,0.446,sad
190,0HQnJee8ShSDu2AYwibxst,Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,38,0.276,0.407,sad
191,4VoJCUgNmnqG2qF0peDBkw,Out of My League,Stephen Speaks,acoustic,67,0.4,0.315,sad
192,7xLhousIHDxoGgeJNhO4Ye,Say Something,A Great Big World,"acoustic, piano",57,0.142,0.158,sad
193,1bhpBRCLsVg3p7BWARbaDS,Rise,Eddie Vedder,acoustic,60,0.526,0.58,happy
194,6NSlOEEtWlqvEFrjQsry77,World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,acoustic,64,0.4,0.311,sad
195,1HqVCK9h4LiJ61aRrrKTAt,Stumble,Freddie King,"acoustic, blues",0,0.857,0.612,happy
196,0wP19iM8ULJyV0r0LFDsDv,Paradise,Taj Mahal,"acoustic, blues, j-rock, jazz",0,0.862,0.406,calm
197,27Fq4XyOkogdGLcfsVdjFb,"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,"acoustic, blues",0,0.342,0.399,sad
198,45jGOHwYKgsRYbAJ8DR61d,ひまわりの約束,Motohiro Hata,"acoustic, j-pop, j-rock",61,0.336,0.445,sad
199,4iObEYRE4FLm0D90gmZFef,Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,50,0.366,0.162,sad
200,3akr0ZrJxLMBLIFeNNKffW,"One more time,One more chance",Masayoshi Yamazaki,"acoustic, blues, j-pop",47,0.396,0.429,sad
201,7BRwh1bemr9rFMDeTbcy5S,Creep,Kina Grannis,acoustic,58,0.179,0.103,sad
202,3rzRo91l4htQvMXhsiECAX,Higher Love,Todd Carey;Ariza;Chuck Leavell,acoustic,30,0.394,0.763,angry
203,0v1vufjir4OE4iRckLMoLd,Hyouriittai,YUZU,"acoustic, j-pop, j-rock",52,0.333,0.891,angry
204,4vAnqYqm1DOo5IDVcxORX3,How Long Will I Love You,Canyon City,acoustic,55,0.224,0.157,sad
205,2X5AFygz5SDYlXagyPw8kX,Binibini,Zack Tabudlo,acoustic,67,0.0979,0.374,sad
206,13GvSZgg9LOs3M9uGbWsPE,You Were Supposed to Be Different,Aron Wright,acoustic,45,0.137,0.239,sad
207,4cR4nao0hqqBtklQmGVqbe,Thinking out Loud,Boyce Avenue,acoustic,56,0.628,0.326,calm
208,4x7AdVDV9IFWp8pg4LMz90,Perfect / Style,Jonah Baker,acoustic,37,0.375,0.292,sad
209,5eNYumDY5PCXtKKJ0SWg2r,Poison & Wine,The Civil Wars,acoustic,54,0.203,0.186,sad
210,6dwkFmLUz6hx2CZG2EqLol,Collide,Howie Day,acoustic,66,0.342,0.625,angry
211,7aohwSiTDju51QmC54AUba,You And I,Ingrid Michaelson,acoustic,63,0.53,0.285,calm
212,7g3ryXLtXExZ0OFCj17Ae1,Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,acoustic,58,0.275,0.439,sad
213,5MrgVJzR1du1gz8XWe4m28,Falling in Love at a Coffee Shop,Landon Pigg,acoustic,55,0.243,0.298,sad
214,5auMzVHFr5Zfw6IbKarZ56,Breathe (2 AM),Anna Nalick,acoustic,65,0.287,0.452,sad
215,63bmIgH9sS6sX5Sc7MetGq,Habang Buhay,Zack Tabudlo,acoustic,69,0.183,0.668,angry
216,3ZjSJv88euP3CdvTg07dZL,Beautiful Soul,Jonah Baker,acoustic,44,0.485,0.281,sad
217,14BMBNRzv24eG6OKoIgPfP,Bulletproof,Ben Woodward,"acoustic, chill",39,0.635,0.552,happy
