,track_id,track_name,artists,track_genre,popularity,tfidf_input
14,4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,Chord Overstreet;Deepend,acoustic,56,acoustic angry medium mainstream
15,1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,acoustic,58,acoustic angry slow mainstream
16,6xKeQgzfjixSUld14qUezm,ily (i love you baby),Andrew Foy;Renee Foy,"acoustic, guitar",56,acoustic guitar sad medium mainstream
17,4Yo0igmcoNyat1secaH0OD,At My Worst,Andrew Foy;Renee Foy,"acoustic, guitar",54,acoustic guitar calm medium mainstream
18,2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz;Colbie Caillat,acoustic,68,acoustic calm medium mainstream
19,6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue;Bea Miller,acoustic,67,acoustic sad medium mainstream
20,3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,acoustic,75,acoustic calm fast mainstream
21,210JCw2LbYD4YIs8GiZ9iP,Demons,Boyce Avenue;Jennel Garcia,acoustic,63,acoustic calm medium mainstream
22,5TvE3pk05pyFIGdSY9j4DJ,Say Something,A Great Big World;Christina Aguilera,"acoustic, piano",70,acoustic piano sad fast mainstream
23,0BUuuEvNa5T4lMaewyiudB,93 Million Miles,Jason Mraz,"acoustic, rock",0,acoustic rock calm fast emerging
24,3Hn3LfhrQOaKihdCibJsTs,Unlonely,Jason Mraz,"acoustic, rock",0,acoustic rock happy medium emerging
25,6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,"acoustic, rock",1,acoustic rock sad medium emerging
26,5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,Jason Mraz,"acoustic, rock",0,acoustic rock calm fast emerging
27,0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Jason Mraz,"acoustic, rock",0,acoustic rock calm fast emerging
28,5QAMZTM5cmLg3fHX9ZbTZi,Winter Wonderland,Jason Mraz,"acoustic, rock",0,acoustic rock calm fast emerging
29,2qESE1ZeWly7I3YjyTXmXh,Winter Wonderland,Jason Mraz,"acoustic, rock",0,acoustic rock calm fast emerging
30,3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,Jason Mraz,"acoustic, rock",0,acoustic rock calm fast emerging
31,3ax0rfGb7exLtl02LL08U9,Winter Wonderland,Jason Mraz,"acoustic, rock",0,acoustic rock calm fast emerging
32,1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,0,acoustic calm fast emerging
33,3H36x7buZdQD4687VmFrwY,Party of One,Brandi Carlile;Sam Smith,"acoustic, folk",0,acoustic folk sad fast emerging
34,0xbMRcMFqxJq1Wa7tvWPtn,Party of One,Brandi Carlile;Sam Smith,"acoustic, folk",0,acoustic folk sad fast emerging
35,6h061f44HZPj1OXO2nA45d,Party of One,Brandi Carlile;Sam Smith,"acoustic, folk",0,acoustic folk sad fast emerging
36,62EwQLDw0dprDzuLwQ0sH1,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter sad slow emerging
37,3lvo0I8c2qBJDLZWqExDgC,Throwing Good After Bad,Brandi Carlile,"acoustic, folk",0,acoustic folk sad medium emerging
38,1ae8XfBQ3fDEvmBjFaemGV,This Time Tomorrow,Brandi Carlile,"acoustic, folk",0,acoustic folk sad medium emerging
39,0adVktNVJXPZfhQe6B1NO5,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter sad slow emerging
40,6sp6Vx3sv2l5qxPfbQkcyt,The Haves,Eddie Vedder,acoustic,0,acoustic angry fast emerging
41,1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,Brandi Carlile,"acoustic, folk",0,acoustic folk sad slow emerging
42,0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,acoustic folk happy fast emerging
43,1MLr9b1fOybO3MGiLy47Ys,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,acoustic folk happy fast emerging
44,6JGjevTaqr9J1xp7YvYUKF,"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,"acoustic, folk",0,acoustic folk angry fast emerging
45,7Af2YlwMZryKOQiRfwMsD2,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,acoustic folk happy fast emerging
46,3RE5nHIVkC4KcA7snFaTKd,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,acoustic folk happy fast emerging
47,0JvkNRyq8Tmot9khpdtN0I,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,acoustic folk happy fast emerging
48,27gHtbsHClwimHFtKgFop4,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,acoustic folk happy fast emerging
49,1QBNBGeIRRGBnLhdlHbfI8,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,acoustic folk happy fast emerging
50,72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,Highland Peak,"acoustic, chill",46,acoustic chill sad medium upcoming
51,3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,Motohiro Hata,"acoustic, j-pop, j-rock, singer-songwriter, songwriter",61,acoustic j-pop j-rock singer-songwriter songwriter happy fast mainstream
52,2DHDuADAHoUW6n0z80RLQF,Pieces,Andrew Belle,"acoustic, folk",60,acoustic folk angry medium mainstream
53,5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,Ron Pope,"acoustic, piano",68,acoustic piano calm slow mainstream
54,2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,Adam Christopher,acoustic,52,acoustic sad fast mainstream
55,6xJOhSm4SvZwzy3uhWz26O,The Enemy,Andrew Belle,"acoustic, folk",62,acoustic folk angry medium mainstream
56,7lLKxcNeJtDTWVRKHovLEC,Build It Better,Aron Wright,acoustic,51,acoustic sad medium mainstream
57,25UzeaV47eDT44Fovve6xQ,Sleepwalking in the Rain,Chord Overstreet,acoustic,0,acoustic calm slow emerging
58,4oa14QBfWRDfJy2agySy0L,Gravity,Sara Bareilles,acoustic,67,acoustic sad fast mainstream
59,2gRKq9rIC5i1zuxp06zJWH,What's Left of You,Chord Overstreet,acoustic,57,acoustic angry medium mainstream
60,08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,acoustic,75,acoustic sad fast mainstream
61,6nXIYClvJAfi6ujLiKqEq8,Sky's Still Blue,Andrew Belle,"acoustic, folk",62,acoustic folk angry fast mainstream
62,7x4b0UccXSKBWxWmjcrG2T,And I Love Her,Kurt Cobain,acoustic,66,acoustic sad medium mainstream
63,6owKuyHxUqidcAA6fPKSyy,We Can't Stop,Boyce Avenue;Bea Miller,acoustic,64,acoustic sad slow mainstream
64,0wbmIfvndFV9VDvuUY1pYN,Always Be My Baby,Tim Halperin,acoustic,62,acoustic sad medium mainstream
65,3e5yu9MkIvQx17mm7LF6KY,Alone with You,Canyon City,"acoustic, folk",58,acoustic folk sad slow mainstream
66,6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,Aaron Espe,"acoustic, folk",65,acoustic folk sad medium mainstream
67,2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,Sara Bareilles,acoustic,67,acoustic sad slow mainstream
68,7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,Andrew Belle,"acoustic, folk",65,acoustic folk sad medium mainstream
69,0ZwdH0m32I8odedwvspYTh,I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,44,acoustic sad medium upcoming
70,16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,Ron Pope,"acoustic, piano",55,acoustic piano angry medium mainstream
71,3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),Five For Fighting,"acoustic, piano",70,acoustic piano sad medium mainstream
72,3Et4LKZLnXygPYfNdeB3D3,When the End Comes,Andrew Belle,"acoustic, folk",57,acoustic folk angry medium mainstream
73,2E9viCx0hJKNKNThd2MdGQ,You're Still The One,Bailey Jehl,"acoustic, chill",56,acoustic chill calm medium mainstream
74,0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,Ingrid Michaelson,acoustic,56,acoustic angry fast mainstream
75,38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,Jason Mraz,acoustic,67,acoustic calm fast mainstream
76,2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,A Great Big World,"acoustic, piano",62,acoustic piano happy medium mainstream
77,4qCbMMMuEB56kHd4zPE6GD,The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,45,acoustic sad medium upcoming
78,11TK5KLtLZUdKr1C549bAw,What Would I Do Without You,Drew Holcomb & The Neighbors,"acoustic, folk",64,acoustic folk sad medium mainstream
79,7BXW1QCg56yzEBV8pW8pah,Have It All,Jason Mraz,acoustic,65,acoustic happy slow mainstream
80,2kMrCPZ0o5gErBPLCRgoli,Heavy Heart,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter angry fast emerging
81,5IjTZ1g8KrIuV97N3OQZ0V,The House We Never Built,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter sad medium emerging
82,3bHhUEOTIbezeZ856R0BX5,Society,Eddie Vedder,acoustic,68,acoustic sad fast mainstream
83,0wf17wsLRwnnfh241GkeH5,Please Don't Say You Love Me,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter angry slow emerging
84,3322ArxAq7wCSZI4fF77Q0,Please Don't Say You Love Me,Gabrielle Aplin,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter angry slow emerging
85,4LGF2tDg3878bs0mQPByZ4,Guaranteed,Eddie Vedder,acoustic,61,acoustic sad medium mainstream
86,6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles,acoustic,70,acoustic happy fast mainstream
87,2z2JKNU24UEngb4joR9p8f,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter sad slow emerging
88,2nef44o0sjJDKB1ta4S0ub,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter sad slow emerging
89,0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,Five For Fighting,"acoustic, piano",62,acoustic piano angry medium mainstream
90,04JS6OitE9VGsIS3S94Osg,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,acoustic folk sad medium emerging
91,5OGpsZeJRZ3t3MZioawcZW,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,acoustic folk sad medium emerging
92,3Vnes7v746dYzBn0FJTZ1W,Fairytale Of New York,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter angry medium emerging
93,30cYWLpVdBZVLb1cYdmcTT,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,acoustic folk sad medium emerging
94,7sUqJ51FGSi3n7x4pYjY3v,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,acoustic folk sad medium emerging
95,15BFn2VmEtonsXfNL1lUmy,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,acoustic folk sad medium emerging
96,0WOFJR54wyTwLB11jcBDb1,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,acoustic folk sad medium emerging
97,1uDCw6LVMOmbZ6zRliNcNX,I Heard The Bells On Christmas Day,The Civil Wars,"acoustic, folk",0,acoustic folk sad medium emerging
98,7DYsBLdOqz0z14tYWMt2Tn,Hold On,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter happy medium emerging
99,7cPuE0M35EajWPRO3nRcH8,Suddenly I See,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,acoustic singer-songwriter songwriter happy medium emerging
100,0U32q8CZRRo7xCzyiaZw5f,Rain,Motohiro Hata,"acoustic, j-pop, j-rock, singer-songwriter, songwriter",58,acoustic j-pop j-rock singer-songwriter songwriter happy medium mainstream
101,4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else - Acoustic,Callum J Wright,acoustic,50,acoustic calm medium upcoming
102,3us8sod4dLbM9FiMiPiEY8,Pieces (Hushed),Andrew Belle,acoustic,59,acoustic sad slow mainstream
103,1PR5pyPiOEEQ02oJYq402x,Mirrors,Boyce Avenue;Fifth Harmony,acoustic,57,acoustic happy slow mainstream
104,068qo0w1Ki0cjnFYOUhAm2,Stand by Me,Boyce Avenue,acoustic,60,acoustic sad medium mainstream
105,2RFt6ZWQbr9mPhsft9u9eX,Losing Me,Gabrielle Aplin;JP Cooper,"acoustic, singer-songwriter, songwriter",61,acoustic singer-songwriter songwriter sad medium mainstream
106,59pUIlXjQupbiYwt40uUTi,なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,49,acoustic sad slow upcoming
107,0VhZ5JYfqPojSYeGWnk4dL,You're Beautiful - Acoustic,John Adams,acoustic,55,acoustic sad fast mainstream
108,0ltIx8PLjtWoS9zn9PqsZW,Hikare Inochi,Kitri,acoustic,51,acoustic angry medium mainstream
109,7ACW42whcdOiUxiNVu7ltx,How To Lose a Girl,Tyler Ward,acoustic,46,acoustic sad slow upcoming
110,4qTHoIp62ngNDpUJwW3hZ7,Can't Help Falling in Love,Boyce Avenue,acoustic,57,acoustic sad medium mainstream
111,4VbDTk82rqWqVgoQC93CkC,Dive Deep (Hushed),Andrew Belle,acoustic,58,acoustic sad medium mainstream
112,1pG5nd6gmfbMwUfT5shDQe,When the Party's over (Acoustic Piano),Ben Woodward,"acoustic, chill",51,acoustic chill sad medium mainstream
113,2WZyfujzMweFLnozyUJBkW,Boston,Augustana,"acoustic, piano",63,acoustic piano angry fast mainstream
114,6gijbGNDNNJgT60Aj7UCyc,Living in the Shadows,Matthew Perryman Jones,acoustic,53,acoustic angry fast mainstream
115,5pq4v03P5PxMcnCagg4S3Z,In Case You Didn't Know,Boyce Avenue,acoustic,60,acoustic sad fast mainstream
116,08OjvLnGR3M0HUhcePeMNO,death bed (coffee for your head),Andrew Foy;Renee Foy,"acoustic, guitar",47,acoustic guitar calm medium upcoming
117,05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,Jason Mraz,acoustic,66,acoustic sad medium mainstream
118,3PG6V5yuFfo4APiovOQoRv,I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic,67,acoustic sad slow mainstream
119,5O9R57EozcpLKGQBzadPVy,Only Love Can Hurt Like This,Meg Birch,"acoustic, jazz",43,acoustic jazz sad medium upcoming
120,6ta5yavnnEfCE4faU0jebM,Mr Blue,Catherine Feeny,acoustic,54,acoustic calm fast mainstream
121,7BRCa8MPiyuvr2VU3O9W0F,Do Not Let Me Go,Joshua Hyslop,acoustic,60,acoustic sad medium mainstream
122,5ZhaKUsY68U0lgREFWfoxg,Holding On And Letting Go,Ross Copperman,"acoustic, piano",49,acoustic piano angry slow upcoming
123,4zcMBfbQZvBSHQBGDd6gsN,You Already Know,JJ Heller,acoustic,57,acoustic sad slow mainstream
124,7bhHLZxkRekrNPPkEdDTbn,Believer (Remix),Ben Woodward,"acoustic, chill",42,acoustic chill angry fast upcoming
125,5rwq6R0Uq0BngM3rdmCeNg,Collide - Acoustic Version,Howie Day,acoustic,67,acoustic sad medium mainstream
126,2lxBZVbkiCXC1soks2RXwV,Love Like This,Ben Rector,"acoustic, piano",61,acoustic piano sad medium mainstream
127,38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,Matt Nathanson,acoustic,71,acoustic happy medium mainstream
128,6XrNrp7UtGgyZcHJ0ckL0w,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,49,acoustic sad fast upcoming
129,72R0X0h8YaxYNpegeoOl0M,Kiss Me Slowly,Parachute,"acoustic, punk, punk-rock",61,acoustic punk punk-rock angry fast mainstream
130,6R6ux6KaKrhAg2EIB2krdU,Without You,Parachute,"acoustic, punk, punk-rock",61,acoustic punk punk-rock happy medium mainstream
131,2D9w6sabdMCLSheW5aegwO,Absolutely Zero,Jason Mraz,acoustic,20,acoustic sad medium emerging
132,1Qo3taHLFSQpzLm5Sty7M4,Sleep All Day,Jason Mraz,acoustic,22,acoustic happy medium emerging
133,71M4QMn8nrok1KFVXwEEyU,You and I Both,Jason Mraz,acoustic,35,acoustic happy medium upcoming
134,4lxGVzcUaSF5HW5jtWnShV,Long Nights,Eddie Vedder,acoustic,60,acoustic sad medium mainstream
135,2PIlBukQ6limukVR8Ubb5o,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,59,acoustic angry slow mainstream
136,5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,KT Tunstall,"acoustic, singer-songwriter, songwriter",73,acoustic singer-songwriter songwriter happy medium mainstream
137,1uSuY2qLCbx1QB7oPUVhFG,Who Needs Shelter,Jason Mraz,acoustic,22,acoustic angry fast emerging
138,6twvFrIoIINH8UW8EB8OnU,No Stopping Us,Jason Mraz,acoustic,19,acoustic happy medium emerging
139,2pelUnMKr07JjJpilj9Yew,I'll Do Anything,Jason Mraz,acoustic,24,acoustic happy fast emerging
140,7d0bJhpp0mCYyMXaMgWyMS,Make You Feel My Love,JJ Heller,acoustic,57,acoustic sad slow mainstream
141,73CbJykoV6WapWGfTeRzTl,The Remedy (I Won't Worry),Jason Mraz,acoustic,35,acoustic happy medium upcoming
142,3ixLIO5BsTmic0Pp27FaPY,Too Much Food,Jason Mraz,acoustic,20,acoustic happy medium emerging
143,5ZetMq21bMQN5oo4TtdOxu,The Boy's Gone,Jason Mraz,acoustic,18,acoustic angry medium emerging
144,73oHkllHIT8fdbzpxiXW40,"On Love, in Sadness",Jason Mraz,acoustic,19,acoustic happy medium emerging
145,4MihgVRpD82EZoT61GW63w,Curbside Prophet,Jason Mraz,acoustic,23,acoustic happy fast emerging
146,1BECZPXBXzobsfmlzj0g3I,"Tonight, Not Again - Live",Jason Mraz,acoustic,19,acoustic calm medium emerging
147,14vExHBkh1prEAN94wZug8,"Tonight, Not Again",Jason Mraz,acoustic,18,acoustic angry medium emerging
148,0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,Eddie Vedder,acoustic,65,acoustic happy fast mainstream
149,6IF2P93LkyW4GqDQu1yS7H,Here with Me,Susie Suh;Robot Koch,acoustic,55,acoustic sad medium mainstream
150,34dnNAUoIPcwnK0RtVMBWZ,The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,acoustic,47,acoustic sad fast upcoming
151,5aDpULK8MbJmHl42kR5KNI,Collide,Howie Day,acoustic,56,acoustic angry medium mainstream
152,1fI1TMpz7FVkpoYBhmiywp,get better,Eden Elf;Ren Avel,acoustic,53,acoustic sad slow mainstream
153,23Mcmg5O8rBKAOzxvrTjnD,Sympathy,Kitri,acoustic,49,acoustic calm medium upcoming
154,0gVbkmFqq5fIkXtJJ3UTfM,Let It Go,Boyce Avenue;Rachel Grae,acoustic,51,acoustic sad fast mainstream
155,00DuOxungwHwVUX2m37P0P,What You Need,Chord Overstreet,acoustic,53,acoustic sad fast mainstream
156,2lFlveK1y13WWp3vnQtrr3,100 Years,Five For Fighting,"acoustic, piano",66,acoustic piano angry medium mainstream
157,2WD93lsfJonaKtrQtpLB2R,You're the Sea,Andrew Belle,acoustic,56,acoustic happy fast mainstream
158,7njTGO45SkaBTNu35t2Yq0,No Direction,Rachael Yamagata,acoustic,47,acoustic happy medium upcoming
159,6ivkBaxvclVhwZDE2uwldj,Belong,Cary Brothers,acoustic,51,acoustic sad medium mainstream
160,6Cvti10W0AzmzG9D1tpuKp,As It Was,The Mayries,acoustic,55,acoustic sad slow mainstream
161,03yc0G2OoH1Eeyu7Piy8fK,I'm Yours,Jason Mraz,acoustic,60,acoustic calm fast mainstream
162,5RO0MNa5hBKIM4OcjygadU,Chi Mai,Joseph Sullinger,"acoustic, guitar",40,acoustic guitar calm slow upcoming
163,78TKtlSLWK8pZAKKW3MyQL,Say Something,A Great Big World;Christina Aguilera,"acoustic, piano",58,acoustic piano sad medium mainstream
164,1esE8j1nVyzEQ5rVhYXoJT,Had It All,Parachute,"acoustic, punk, punk-rock",55,acoustic punk punk-rock angry slow mainstream
165,68Yc9ylRZZPtsuVgtrxcDj,Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,acoustic,50,acoustic happy medium upcoming
166,3tjjCCdXSdaVEo4q4y071G,Whole Again - Acoustic Version,Tobey Rosen,"acoustic, chill",52,acoustic chill sad medium mainstream
167,3tob5ofeuvFKKSbOTldenC,Overpass Graffiti,The Mayries,acoustic,54,acoustic sad medium mainstream
168,4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,acoustic,73,acoustic happy medium mainstream
169,3uAdZpIbMTtVXitHVibLMV,Let Her Go,Andrew Foy;Renee Foy,"acoustic, guitar",38,acoustic guitar sad slow upcoming
170,2LC523tbEPFpc1pnikbt5b,Brighter Than Sunshine,Aqualung,"acoustic, piano",53,acoustic piano sad slow mainstream
171,3ISLwA96mtx13Wx7K1PPPk,Love Story,Tyler Ward;Karis;Ray Lorraine,acoustic,55,acoustic sad medium mainstream
172,7Ca2CkwSqHyr3eCh8IRdjz,Mujer con Abanico,Agustín Amigó;Nylonwings,"acoustic, guitar",41,acoustic guitar sad medium upcoming
173,6ql0ffq6Jvyh9OKqrJCMaP,In the Shadows,Amy Stroup,acoustic,46,acoustic sad medium upcoming
174,1EyvonxK8OGHRV4WDRdArc,Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic,63,acoustic sad medium mainstream
175,0EKBV6GybPtALXUgWqWrym,The Story,Brandi Carlile,acoustic,66,acoustic angry medium mainstream
176,41A82PidFKhGX5hm1WoaDs,Better,JJ Heller,acoustic,54,acoustic sad medium mainstream
177,5oV8bZaShr2d01FFMHBUPq,Iris,Kina Grannis,acoustic,62,acoustic sad medium mainstream
178,5nMRpGfqQ0tb1TMbqBVK2J,Rockabye - Acoustic Version,The Mayries,acoustic,57,acoustic sad slow mainstream
179,04qDUASuSfVp6fktfsxVej,I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,acoustic,68,acoustic angry fast mainstream
180,3g61xRaqII8q1wlQDzv550,Beautiful Soul,Boyce Avenue,acoustic,62,acoustic happy slow mainstream
181,3dglCYsVMjPbDlU2CC9Vq7,Let's See What The Night Can Do,Jason Mraz,acoustic,53,acoustic sad medium mainstream
182,2f4jlGvGi3ZDGogXys5FUp,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,44,acoustic sad slow upcoming
183,3NCg46FWgnANZc9HQHQOQR,Forever And Always,Parachute,"acoustic, punk, punk-rock",57,acoustic punk punk-rock angry medium mainstream
184,0muntSMuAZzcwYBBMZj6sf,Fine On The Outside,Priscilla Ahn,acoustic,52,acoustic sad medium mainstream
185,3FRARAKLpHw3er9ZaTwaHO,I Believe in You,JJ Heller,acoustic,53,acoustic sad medium mainstream
186,2Dzhwe90lhHXVU6lk7Nx0H,At Home,Jon Bryant,acoustic,55,acoustic angry slow mainstream
187,12niARgkwxGsklcEwh6GlG,"Portland, Maine",Donovan Woods,acoustic,66,acoustic sad slow mainstream
188,0v0pc1lIt5p6EBX7pnfOGF,Holding On and Letting Go,Ross Copperman,"acoustic, piano",49,acoustic piano angry slow upcoming
189,5wQci5VCUjdbKnRD61XYwu,The Flood,Joshua Hyslop,acoustic,60,acoustic sad slow mainstream
190,0HQnJee8ShSDu2AYwibxst,Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,38,acoustic sad fast upcoming
191,4VoJCUgNmnqG2qF0peDBkw,Out of My League,Stephen Speaks,acoustic,67,acoustic sad medium mainstream
192,7xLhousIHDxoGgeJNhO4Ye,Say Something,A Great Big World,"acoustic, piano",57,acoustic piano sad fast mainstream
193,1bhpBRCLsVg3p7BWARbaDS,Rise,Eddie Vedder,acoustic,60,acoustic happy fast mainstream
194,6NSlOEEtWlqvEFrjQsry77,World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,acoustic,64,acoustic sad medium mainstream
195,1HqVCK9h4LiJ61aRrrKTAt,Stumble,Freddie King,"acoustic, blues",0,acoustic blues happy medium emerging
196,0wP19iM8ULJyV0r0LFDsDv,Paradise,Taj Mahal,"acoustic, blues, j-rock, jazz",0,acoustic blues j-rock jazz calm slow emerging
197,27Fq4XyOkogdGLcfsVdjFb,"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,"acoustic, blues",0,acoustic blues sad medium emerging
198,45jGOHwYKgsRYbAJ8DR61d,ひまわりの約束,Motohiro Hata,"acoustic, j-pop, j-rock",61,acoustic j-pop j-rock sad slow mainstream
199,4iObEYRE4FLm0D90gmZFef,Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,50,acoustic sad medium upcoming
200,3akr0ZrJxLMBLIFeNNKffW,"One more time,One more chance",Masayoshi Yamazaki,"acoustic, blues, j-pop",47,acoustic blues j-pop sad medium upcoming
201,7BRwh1bemr9rFMDeTbcy5S,Creep,Kina Grannis,acoustic,58,acoustic sad medium mainstream
202,3rzRo91l4htQvMXhsiECAX,Higher Love,Todd Carey;Ariza;Chuck Leavell,acoustic,30,acoustic angry medium upcoming
203,0v1vufjir4OE4iRckLMoLd,Hyouriittai,YUZU,"acoustic, j-pop, j-rock",52,acoustic j-pop j-rock angry fast mainstream
204,4vAnqYqm1DOo5IDVcxORX3,How Long Will I Love You,Canyon City,acoustic,55,acoustic sad medium mainstream
205,2X5AFygz5SDYlXagyPw8kX,Binibini,Zack Tabudlo,acoustic,67,acoustic sad medium mainstream
